epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667849010783,2022-11-07T20.23.30.783,2.303,-0.044,-0.130,0.999
1667849010803,2022-11-07T20.23.30.803,2.323,-0.044,-0.130,1.000
1667849010822,2022-11-07T20.23.30.822,2.342,-0.044,-0.129,1.000
1667849010843,2022-11-07T20.23.30.843,2.363,-0.044,-0.130,1.001
1667849010862,2022-11-07T20.23.30.862,2.382,-0.045,-0.130,0.999
1667849010882,2022-11-07T20.23.30.882,2.402,-0.044,-0.129,0.998
1667849010903,2022-11-07T20.23.30.903,2.423,-0.045,-0.128,0.998
1667849010922,2022-11-07T20.23.30.922,2.442,-0.044,-0.130,1.000
1667849010942,2022-11-07T20.23.30.942,2.462,-0.045,-0.131,1.001
1667849010961,2022-11-07T20.23.30.961,2.481,-0.044,-0.129,1.001
1667849010982,2022-11-07T20.23.30.982,2.502,-0.045,-0.130,1.000
1667849011001,2022-11-07T20.23.31.001,2.521,-0.042,-0.129,1.000
1667849011021,2022-11-07T20.23.31.021,2.541,-0.043,-0.128,1.001
1667849011040,2022-11-07T20.23.31.040,2.560,-0.045,-0.129,0.999
1667849011061,2022-11-07T20.23.31.061,2.581,-0.044,-0.130,0.999
1667849011081,2022-11-07T20.23.31.081,2.601,-0.043,-0.131,1.002
1667849011100,2022-11-07T20.23.31.100,2.620,-0.043,-0.129,1.000
1667849011121,2022-11-07T20.23.31.121,2.641,-0.043,-0.132,1.000
1667849011140,2022-11-07T20.23.31.140,2.660,-0.044,-0.129,1.001
1667849011161,2022-11-07T20.23.31.161,2.681,-0.045,-0.130,1.000
1667849011180,2022-11-07T20.23.31.180,2.700,-0.046,-0.132,1.000
1667849011200,2022-11-07T20.23.31.200,2.720,-0.044,-0.125,1.000
1667849011219,2022-11-07T20.23.31.219,2.739,-0.043,-0.129,1.003
1667849011240,2022-11-07T20.23.31.240,2.760,-0.045,-0.129,1.000
1667849011259,2022-11-07T20.23.31.259,2.779,-0.045,-0.130,0.998
1667849011279,2022-11-07T20.23.31.279,2.799,-0.044,-0.131,0.999
1667849011300,2022-11-07T20.23.31.300,2.820,-0.045,-0.129,1.001
1667849011319,2022-11-07T20.23.31.319,2.839,-0.044,-0.129,1.000
1667849011339,2022-11-07T20.23.31.339,2.859,-0.045,-0.132,1.000
1667849011358,2022-11-07T20.23.31.358,2.878,-0.045,-0.130,0.999
1667849011379,2022-11-07T20.23.31.379,2.899,-0.046,-0.129,1.001
1667849011398,2022-11-07T20.23.31.398,2.918,-0.046,-0.129,1.001
1667849011418,2022-11-07T20.23.31.418,2.938,-0.044,-0.130,1.000
1667849011437,2022-11-07T20.23.31.437,2.957,-0.044,-0.129,1.000
1667849011458,2022-11-07T20.23.31.458,2.978,-0.046,-0.130,0.998
1667849011478,2022-11-07T20.23.31.478,2.998,-0.045,-0.129,1.000
1667849011497,2022-11-07T20.23.31.497,3.017,-0.045,-0.132,1.000
1667849011518,2022-11-07T20.23.31.518,3.038,-0.045,-0.131,1.000
1667849011537,2022-11-07T20.23.31.537,3.057,-0.043,-0.129,1.000
1667849011557,2022-11-07T20.23.31.557,3.077,-0.044,-0.129,1.000
1667849011577,2022-11-07T20.23.31.577,3.097,-0.045,-0.129,1.000
1667849011597,2022-11-07T20.23.31.597,3.117,-0.045,-0.130,1.000
1667849011616,2022-11-07T20.23.31.616,3.136,-0.045,-0.132,0.999
1667849011637,2022-11-07T20.23.31.637,3.157,-0.045,-0.129,0.999
1667849011657,2022-11-07T20.23.31.657,3.177,-0.044,-0.129,1.001
1667849011676,2022-11-07T20.23.31.676,3.196,-0.046,-0.129,0.999
1667849011697,2022-11-07T20.23.31.697,3.217,-0.044,-0.129,1.000
1667849011716,2022-11-07T20.23.31.716,3.236,-0.045,-0.129,1.000
1667849011736,2022-11-07T20.23.31.736,3.256,-0.044,-0.131,1.001
1667849011755,2022-11-07T20.23.31.755,3.275,-0.045,-0.129,1.002
1667849011776,2022-11-07T20.23.31.776,3.296,-0.046,-0.129,0.998
1667849011795,2022-11-07T20.23.31.795,3.315,-0.044,-0.130,1.000
1667849011815,2022-11-07T20.23.31.815,3.335,-0.044,-0.130,0.999
1667849011836,2022-11-07T20.23.31.836,3.356,-0.046,-0.130,1.000
1667849011855,2022-11-07T20.23.31.855,3.375,-0.046,-0.130,1.000
1667849011875,2022-11-07T20.23.31.875,3.395,-0.046,-0.130,1.000
1667849011894,2022-11-07T20.23.31.894,3.414,-0.046,-0.130,1.000
1667849011915,2022-11-07T20.23.31.915,3.435,-0.046,-0.130,1.001
1667849011934,2022-11-07T20.23.31.934,3.454,-0.045,-0.130,0.998
1667849011954,2022-11-07T20.23.31.954,3.474,-0.044,-0.130,1.000
1667849011973,2022-11-07T20.23.31.973,3.493,-0.045,-0.130,1.002
1667849011994,2022-11-07T20.23.31.994,3.514,-0.047,-0.130,0.999
1667849012015,2022-11-07T20.23.32.015,3.535,-0.045,-0.129,1.001
1667849012034,2022-11-07T20.23.32.034,3.554,-0.046,-0.129,0.993
1667849012054,2022-11-07T20.23.32.054,3.574,-0.047,-0.127,0.997
1667849012073,2022-11-07T20.23.32.073,3.593,-0.046,-0.128,1.002
1667849012094,2022-11-07T20.23.32.094,3.614,-0.044,-0.130,1.002
1667849012113,2022-11-07T20.23.32.113,3.633,-0.045,-0.131,1.002
1667849012133,2022-11-07T20.23.32.133,3.653,-0.046,-0.131,1.006
1667849012152,2022-11-07T20.23.32.152,3.672,-0.048,-0.128,0.998
1667849012173,2022-11-07T20.23.32.173,3.693,-0.048,-0.130,1.000
1667849012193,2022-11-07T20.23.32.193,3.713,-0.046,-0.132,0.997
1667849012212,2022-11-07T20.23.32.212,3.732,-0.045,-0.135,1.013
1667849012233,2022-11-07T20.23.32.233,3.753,-0.050,-0.124,0.991
1667849012252,2022-11-07T20.23.32.252,3.772,-0.048,-0.125,0.997
1667849012272,2022-11-07T20.23.32.272,3.792,-0.049,-0.125,0.991
1667849012291,2022-11-07T20.23.32.291,3.811,-0.048,-0.131,1.004
1667849012312,2022-11-07T20.23.32.312,3.832,-0.046,-0.133,1.016
1667849012331,2022-11-07T20.23.32.331,3.851,-0.048,-0.122,1.005
1667849012351,2022-11-07T20.23.32.351,3.871,-0.056,-0.127,0.948
1667849012370,2022-11-07T20.23.32.370,3.890,-0.046,-0.125,1.022
1667849012391,2022-11-07T20.23.32.391,3.911,-0.047,-0.132,1.003
1667849012411,2022-11-07T20.23.32.411,3.931,-0.048,-0.132,1.008
1667849012431,2022-11-07T20.23.32.431,3.951,-0.049,-0.125,0.997
1667849012451,2022-11-07T20.23.32.451,3.971,-0.049,-0.126,0.996
1667849012470,2022-11-07T20.23.32.470,3.990,-0.047,-0.130,1.000
1667849012491,2022-11-07T20.23.32.491,4.011,-0.047,-0.130,1.001
1667849012510,2022-11-07T20.23.32.510,4.030,-0.045,-0.132,1.004
1667849012530,2022-11-07T20.23.32.530,4.050,-0.046,-0.130,1.007
1667849012549,2022-11-07T20.23.32.549,4.069,-0.051,-0.122,0.986
1667849012570,2022-11-07T20.23.32.570,4.090,-0.046,-0.130,1.000
1667849012590,2022-11-07T20.23.32.590,4.110,-0.046,-0.132,1.000
1667849012609,2022-11-07T20.23.32.609,4.129,-0.047,-0.126,0.999
1667849012630,2022-11-07T20.23.32.630,4.150,-0.048,-0.124,0.994
1667849012649,2022-11-07T20.23.32.649,4.169,-0.045,-0.131,1.001
1667849012669,2022-11-07T20.23.32.669,4.189,0.134,-0.202,0.992
1667849012688,2022-11-07T20.23.32.688,4.208,0.263,-0.167,0.967
1667849012709,2022-11-07T20.23.32.709,4.229,-0.458,-0.052,1.028
1667849012728,2022-11-07T20.23.32.728,4.248,-0.138,-0.149,1.003
1667849012748,2022-11-07T20.23.32.748,4.268,0.072,-0.127,0.997
1667849012769,2022-11-07T20.23.32.769,4.289,-0.137,-0.123,1.006
1667849012788,2022-11-07T20.23.32.788,4.308,-0.063,-0.126,1.003
1667849012808,2022-11-07T20.23.32.808,4.328,-0.022,-0.125,1.000
1667849012827,2022-11-07T20.23.32.827,4.347,-0.042,-0.126,1.000
1667849012848,2022-11-07T20.23.32.848,4.368,-0.045,-0.128,1.000
1667849012867,2022-11-07T20.23.32.867,4.387,-0.042,-0.127,1.000
1667849012888,2022-11-07T20.23.32.888,4.408,-0.040,-0.127,1.000
1667849012907,2022-11-07T20.23.32.907,4.427,-0.042,-0.127,1.000
1667849012927,2022-11-07T20.23.32.927,4.447,-0.040,-0.126,1.001
1667849012948,2022-11-07T20.23.32.948,4.468,-0.040,-0.126,1.000
1667849012967,2022-11-07T20.23.32.967,4.487,-0.042,-0.127,1.000
1667849012987,2022-11-07T20.23.32.987,4.507,-0.043,-0.126,1.002
1667849013006,2022-11-07T20.23.33.006,4.526,-0.041,-0.126,1.003
1667849013027,2022-11-07T20.23.33.027,4.547,-0.041,-0.127,1.000
1667849013046,2022-11-07T20.23.33.046,4.566,-0.044,-0.125,1.001
1667849013066,2022-11-07T20.23.33.066,4.586,-0.041,-0.124,0.999
1667849013085,2022-11-07T20.23.33.085,4.605,-0.059,-0.126,1.004
1667849013106,2022-11-07T20.23.33.106,4.626,-0.028,-0.126,0.997
1667849013126,2022-11-07T20.23.33.126,4.646,-0.033,-0.127,0.998
1667849013145,2022-11-07T20.23.33.145,4.665,-0.052,-0.126,1.001
1667849013166,2022-11-07T20.23.33.166,4.686,-0.037,-0.125,0.999
1667849013185,2022-11-07T20.23.33.185,4.705,-0.036,-0.125,0.998
1667849013205,2022-11-07T20.23.33.205,4.725,-0.049,-0.125,1.001
1667849013224,2022-11-07T20.23.33.224,4.744,-0.043,-0.126,1.000
1667849013245,2022-11-07T20.23.33.245,4.765,-0.032,-0.127,0.998
1667849013264,2022-11-07T20.23.33.264,4.784,-0.044,-0.127,1.002
1667849013285,2022-11-07T20.23.33.285,4.805,-0.048,-0.126,1.005
1667849013305,2022-11-07T20.23.33.305,4.825,-0.048,-0.126,1.003
1667849013324,2022-11-07T20.23.33.324,4.844,-0.035,-0.127,0.999
1667849013345,2022-11-07T20.23.33.345,4.865,-0.038,-0.127,1.000
1667849013364,2022-11-07T20.23.33.364,4.884,-0.045,-0.127,1.001
1667849013384,2022-11-07T20.23.33.384,4.904,-0.043,-0.127,1.000
1667849013403,2022-11-07T20.23.33.403,4.923,-0.044,-0.126,1.001
1667849013424,2022-11-07T20.23.33.424,4.944,-0.040,-0.125,1.001
1667849013443,2022-11-07T20.23.33.443,4.963,-0.041,-0.125,1.000
1667849013463,2022-11-07T20.23.33.463,4.983,-0.050,-0.125,1.006
1667849013484,2022-11-07T20.23.33.484,5.004,-0.042,-0.127,1.004
1667849013503,2022-11-07T20.23.33.503,5.023,-0.038,-0.127,0.992
1667849013523,2022-11-07T20.23.33.523,5.043,-0.045,-0.128,1.001
1667849013542,2022-11-07T20.23.33.542,5.062,-0.043,-0.128,1.000
1667849013563,2022-11-07T20.23.33.563,5.083,-0.045,-0.126,1.001
1667849013582,2022-11-07T20.23.33.582,5.102,-0.043,-0.126,1.001
1667849013602,2022-11-07T20.23.33.602,5.122,-0.043,-0.126,1.000
1667849013621,2022-11-07T20.23.33.621,5.141,-0.043,-0.126,1.000
1667849013642,2022-11-07T20.23.33.642,5.162,-0.044,-0.127,1.000
1667849013661,2022-11-07T20.23.33.661,5.181,-0.043,-0.126,1.001
1667849013682,2022-11-07T20.23.33.682,5.202,-0.044,-0.125,1.002
1667849013702,2022-11-07T20.23.33.702,5.222,-0.042,-0.124,1.004
1667849013721,2022-11-07T20.23.33.721,5.241,-0.027,-0.123,1.012
1667849013742,2022-11-07T20.23.33.742,5.262,-0.013,-0.130,1.071
1667849013761,2022-11-07T20.23.33.761,5.281,-0.098,-0.117,0.935
1667849013781,2022-11-07T20.23.33.781,5.301,-0.059,-0.128,0.971
1667849013800,2022-11-07T20.23.33.800,5.320,-0.047,-0.129,1.012
1667849013821,2022-11-07T20.23.33.821,5.341,-0.055,-0.127,0.995
1667849013840,2022-11-07T20.23.33.840,5.360,-0.051,-0.128,1.002
1667849013860,2022-11-07T20.23.33.860,5.380,-0.052,-0.127,1.000
1667849013881,2022-11-07T20.23.33.881,5.401,-0.052,-0.128,1.000
1667849013900,2022-11-07T20.23.33.900,5.420,-0.052,-0.128,1.000
1667849013920,2022-11-07T20.23.33.920,5.440,-0.022,-0.145,1.104
1667849013939,2022-11-07T20.23.33.939,5.459,0.196,-0.309,1.606
1667849013960,2022-11-07T20.23.33.960,5.480,-0.146,-0.237,0.682
1667849013979,2022-11-07T20.23.33.979,5.499,-0.314,0.141,0.540
1667849013999,2022-11-07T20.23.33.999,5.519,-0.053,-0.180,1.088
1667849014018,2022-11-07T20.23.34.018,5.538,-0.080,-0.154,0.992
1667849014039,2022-11-07T20.23.34.039,5.559,-0.091,-0.136,0.997
1667849014059,2022-11-07T20.23.34.059,5.579,-0.074,-0.158,1.031
1667849014078,2022-11-07T20.23.34.078,5.598,-0.103,-0.137,0.990
1667849014099,2022-11-07T20.23.34.099,5.619,-0.101,-0.111,0.977
1667849014118,2022-11-07T20.23.34.118,5.638,-0.102,-0.119,1.175
1667849014139,2022-11-07T20.23.34.139,5.659,-0.098,-0.059,1.419
1667849014158,2022-11-07T20.23.34.158,5.678,-0.187,-0.161,0.715
1667849014178,2022-11-07T20.23.34.178,5.698,-0.285,-0.176,0.821
1667849014197,2022-11-07T20.23.34.197,5.717,0.073,-0.146,0.951
1667849014218,2022-11-07T20.23.34.218,5.738,0.071,-0.134,0.912
1667849014238,2022-11-07T20.23.34.238,5.758,-0.171,-0.196,1.007
1667849014257,2022-11-07T20.23.34.257,5.777,-0.150,-0.188,1.035
1667849014278,2022-11-07T20.23.34.278,5.798,-0.099,-0.167,1.241
1667849014297,2022-11-07T20.23.34.297,5.817,-0.114,-0.154,0.972
1667849014317,2022-11-07T20.23.34.317,5.837,-0.146,-0.198,1.010
1667849014336,2022-11-07T20.23.34.336,5.856,-0.146,-0.282,0.937
1667849014357,2022-11-07T20.23.34.357,5.877,-0.172,-0.223,0.883
1667849014376,2022-11-07T20.23.34.376,5.896,0.076,-0.322,0.912
1667849014396,2022-11-07T20.23.34.396,5.916,0.117,-0.510,0.698
