"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.367159130E-1,-1.130711555E0,4.502076805E-1,4.654793143E-1
4.387300410E-1,-1.078177214E0,3.567453027E-1,4.550946057E-1
4.407136510E-1,-9.712757468E-1,1.514945775E-1,4.324925840E-1
4.427277790E-1,-8.710938692E-1,-7.024950534E-2,4.153883755E-1
4.447113900E-1,-8.228355050E-1,-1.704314053E-1,4.086688459E-1
4.467255180E-1,-7.360926270E-1,-3.439171314E-1,3.927863538E-1
4.487091290E-1,-6.536257863E-1,-4.648684561E-1,3.769038618E-1
4.507232570E-1,-6.169738770E-1,-5.076290369E-1,3.732386529E-1
4.527068670E-1,-5.485569835E-1,-5.595525503E-1,3.677408695E-1
4.547209960E-1,-4.960225821E-1,-5.833762884E-1,3.689626157E-1
4.567046060E-1,-4.709770977E-1,-5.833762884E-1,3.744603992E-1
4.587187340E-1,-4.386012554E-1,-5.815436840E-1,3.952298164E-1
4.607328630E-1,-4.282165468E-1,-5.742133260E-1,4.257730842E-1
4.626859570E-1,-4.276056588E-1,-5.754350424E-1,4.477642179E-1
4.647000840E-1,-4.410447180E-1,-5.858197808E-1,4.990769029E-1
4.666836950E-1,-4.728097022E-1,-6.133087277E-1,5.693264008E-1
4.686978220E-1,-4.948008358E-1,-6.316346526E-1,6.059783101E-1
4.707119510E-1,-5.497786999E-1,-6.627888083E-1,6.591235995E-1
4.726955610E-1,-6.114761233E-1,-6.914994717E-1,7.153232098E-1
4.747096890E-1,-6.780604124E-1,-7.049384713E-1,7.690793276E-1
4.766933000E-1,-7.128797174E-1,-7.104362845E-1,7.910705209E-1
4.787074280E-1,-7.703011036E-1,-7.141014934E-1,8.338310719E-1
4.806910390E-1,-8.210029006E-1,-7.104362845E-1,8.710938692E-1
4.827051670E-1,-8.436049223E-1,-7.079927921E-1,8.820894361E-1
4.846887770E-1,-8.839219809E-1,-6.969972253E-1,9.059131742E-1
4.867029050E-1,-9.126327038E-1,-6.811147332E-1,9.193521738E-1
4.886865160E-1,-9.205739498E-1,-6.719517708E-1,9.254608750E-1
4.907006440E-1,-9.315695167E-1,-6.462954283E-1,9.266825914E-1
4.926842550E-1,-9.340129495E-1,-6.102544069E-1,9.230173826E-1
4.946983830E-1,-9.309586287E-1,-5.852088928E-1,9.187413454E-1
4.966819940E-1,-9.230173826E-1,-5.283984542E-1,9.022479653E-1
4.986961220E-1,-9.095783234E-1,-4.612032473E-1,8.833111525E-1
5.007102500E-1,-9.010262489E-1,-4.227187634E-1,8.710938692E-1
5.026938600E-1,-8.827002645E-1,-3.396410644E-1,8.448266387E-1
5.046774710E-1,-8.570439219E-1,-2.382374406E-1,8.112290502E-1
5.066915990E-1,-8.271115422E-1,-1.282816976E-1,7.751879692E-1
5.086752100E-1,-8.063421249E-1,-7.696902007E-2,7.538077235E-1
5.106893380E-1,-7.507534027E-1,3.787364438E-2,7.092145681E-1
5.126729480E-1,-6.878342628E-1,1.808161139E-1,6.560692787E-1
5.146870770E-1,-6.548475623E-1,2.742784917E-1,6.291912198E-1
5.166706870E-1,-5.791002512E-1,4.856378734E-1,5.687155724E-1
5.186848150E-1,-4.917465150E-1,7.342600226E-1,4.990769029E-1
5.206684260E-1,-4.447098970E-1,8.655960560E-1,4.642575979E-1
5.226825540E-1,-3.426954150E-1,1.133765936E0,3.927863538E-1
5.246661660E-1,-2.333505303E-1,1.386053205E0,3.182607889E-1
5.266802930E-1,-1.734857261E-1,1.502728462E0,2.852740586E-1
5.286639040E-1,-5.436700583E-2,1.707368374E0,2.241875380E-1
5.306780320E-1,6.902777404E-2,1.852754235E0,1.747074574E-1
5.326616430E-1,1.331686229E-1,1.896736622E0,1.539380401E-1
5.346757700E-1,2.602286041E-1,1.907121301E0,1.258382350E-1
5.366593820E-1,3.866777122E-1,1.848478198E0,1.154535338E-1
5.386735090E-1,4.520402849E-1,1.803885102E0,1.148426682E-1
5.406876370E-1,5.858197808E-1,1.683544636E0,1.166752651E-1
5.426712480E-1,7.293730974E-1,1.550375938E0,1.270599663E-1
5.446548590E-1,8.747590184E-1,1.401935697E0,1.404990107E-1
5.466689870E-1,9.511171579E-1,1.332907915E0,1.484402567E-1
5.486525980E-1,1.111163855E0,1.207680583E0,1.685988009E-1
5.506667250E-1,1.272432327E0,1.109331250E0,1.918116808E-1
5.526503370E-1,1.351844788E0,1.067792416E0,1.960877478E-1
5.546644640E-1,1.513724089E0,1.010371089E0,2.046398520E-1
5.566480760E-1,1.671938181E0,9.822713137E-1,2.113593817E-1
5.586622030E-1,1.748907208E0,9.724974632E-1,2.101376504E-1
5.606458140E-1,1.891849637E0,9.645562172E-1,2.046398520E-1
5.626599410E-1,2.028072596E0,9.578366876E-1,1.942551434E-1
5.646435530E-1,2.089159250E0,9.462302923E-1,1.899790913E-1
5.666576800E-1,2.218662500E0,9.108000994E-1,1.795943826E-1
5.686412920E-1,2.371378899E0,8.179485798E-1,1.679879427E-1
5.706859360E-1,2.463008642E0,7.385360599E-1,1.618792862E-1
5.726390300E-1,2.703689575E0,4.770857692E-1,1.588249654E-1
5.746531580E-1,2.986520290E0,1.508837193E-1,1.600466967E-1
5.766367690E-1,3.118467093E0,1.588249579E-2,1.563815027E-1
5.786508960E-1,3.334713459E0,-1.240056455E-1,1.319468915E-1
5.806650250E-1,3.491094828E0,-1.062905490E-1,9.590584040E-2
5.826486350E-1,3.598607063E0,2.076941915E-2,5.558873713E-2
5.846322470E-1,3.642589569E0,1.044579595E-1,3.543018550E-2
5.866463750E-1,3.722002029E0,3.005456924E-1,6.108652451E-4
5.886299850E-1,3.797749281E0,4.899139404E-1,-3.359758854E-2
5.906746300E-1,3.841731548E0,5.778785348E-1,-5.192354694E-2
5.926277240E-1,3.936415672E0,7.354817390E-1,-9.285151958E-2
5.946418520E-1,4.043316841E0,8.649851680E-1,-1.398881376E-1
5.966254630E-1,4.101349354E0,9.272934198E-1,-1.655444801E-1
5.986395910E-1,4.220468044E0,1.040303469E0,-2.278527319E-1
6.006232020E-1,4.340197563E0,1.166752577E0,-2.932153046E-1
6.026373300E-1,4.392732143E0,1.232726097E0,-3.262020350E-1
6.046209400E-1,4.489248753E0,1.350012183E0,-3.946189582E-1
6.066350690E-1,4.556443691E0,1.438587666E0,-4.789183438E-1
6.086186790E-1,4.580267429E0,1.463022232E0,-5.308418870E-1
6.106633240E-1,4.610810757E0,1.486235142E0,-6.499606371E-1
6.126164180E-1,4.621806622E0,1.496619821E0,-7.666358948E-1
6.146305460E-1,4.613865376E0,1.487456918E0,-8.802568316E-1
6.166141570E-1,4.608367443E0,1.478293896E0,-9.334021211E-1
6.186282850E-1,4.588208675E0,1.479515672E0,-1.038470864E0
6.206424120E-1,4.560109138E0,1.517389297E0,-1.133765936E0
6.226260230E-1,4.546669960E0,1.555873752E0,-1.176526427E0
6.246096340E-1,4.511850834E0,1.663386106E0,-1.246775985E0
6.266237620E-1,4.480696678E0,1.815491557E0,-1.298699498E0
6.286073730E-1,4.471533775E0,1.893071413E0,-1.320690632E0
6.306520180E-1,4.469089985E0,2.051285505E0,-1.349401355E0
6.326051120E-1,4.481918335E0,2.192395449E0,-1.370781660E0
6.346192400E-1,4.488027096E0,2.251649380E0,-1.378722906E0
6.366028500E-1,4.502687931E0,2.342057467E0,-1.394605398E0
6.386169780E-1,4.507574558E0,2.404976368E0,-1.412931323E0
6.406005890E-1,4.506352901E0,2.426356792E0,-1.421483397E0
6.426147170E-1,4.501465797E0,2.455678225E0,-1.444085479E0
6.446288440E-1,4.478252888E0,2.464230299E0,-1.471574426E0
6.466124560E-1,4.464203358E0,2.459343433E0,-1.486845970E0
6.486265840E-1,4.422053337E0,2.423302412E0,-1.522276163E0
6.506407110E-1,4.356690884E0,2.348165989E0,-1.559538960E0
6.526243230E-1,4.279721737E0,2.227825642E0,-1.602299571E0
6.546079330E-1,4.233295918E0,2.149634838E0,-1.626734138E0
6.566220610E-1,4.128838062E0,1.988366365E0,-1.665829539E0
6.586056720E-1,3.997502089E0,1.833206654E0,-1.704924941E0
6.606198000E-1,3.925420046E0,1.766622305E0,-1.719585657E0
6.626034110E-1,3.756821156E0,1.653001308E0,-1.737300754E0
6.646175390E-1,3.566231251E0,1.566869378E0,-1.747074604E0
6.666011500E-1,3.464827776E0,1.530828357E0,-1.744631171E0
6.686152780E-1,3.249192238E0,1.450804949E0,-1.734857321E0
